inv,slug,wiki_article,wiki_store
silverstall,silver_cog_silver_stall,[[Silver Cog Silver Stall]],
ardougnegemstall,ardougne_gem_stall,[[Ardougne Gem Stall.]],
spicestall,ardougne_spice_stall,[[Ardougne Spice Stall.]],
wydinstore,wydins_food_store,[[Food Store]],
bedabincampshop,bedabin_village_bartering,[[Bedabin Village Bartering]],
shantayshop,shantay_pass_shop,[[Shantay Pass Shop]],
mcannonshop,nulodions_multicannon_parts,[[Nulodion]],
ranging_guild_bowshop,dargauds_bows_and_arrows,[[Dargaud's Bow and Arrows.]],
ranging_guild_armourshop,aarons_archery_appendages,[[Aaron's Archery Appendages.]],
ranging_guild_tribalshop,authentic_throwing_weapons,[[Authentic Throwing Weapons.]],
generallegends,legends_guild_general_store,[[Legends Guild General Store.]],
legendsguildshop,legends_guild_shop_of_useful_items,[[Legends Guild Shop of Useful Items.]],
shilofishingshop,fernaheis_fishing_hut,[[Fernahei's Fishing Hut.]],
gnomeshop_rometti,romettis_fine_fashions,[[Fine Fashions]],
gnomeshop_gulluck,gulluck_and_sons,[[Gulluck and Sons]],
gnomeshop_heck,funchs_fine_groceries,[[Funch's Fine Groceries]],
gnomeshop_hudo,grand_tree_groceries,[[Grand Tree Groceries]],
blurberrybar,blurberrys_bar,[[Blurberry Bar]],
giannerestaurant,giannes_restaurant,[[Gianne's Restaurant]],
magearena_runeshop,lundails_arena_side_rune_shop,[[Lundail's Arena-side Rune Shop.]],
magearena_staffshop,mage_arena_staves,[[Mage Arena Staffs.]],
duel_rottenfruitshop,pelters_veg_stall,[[Pelters' Veg Stall]],
aprilfoolshorseshop,diangos_toy_store,[[Diango's Toy Store]],
shilojunglestore,oblis_general_store,[[Obli's General Store.]],
upassgeneralshop,west_ardougne_general_store,[[West Ardougne General Store]],
werewolfstore1,rufuss_meat_emporium,[[Rufus' Meat Emporium]],
werewolfstore2,barkers_haberdashery,[[Barkers' Haberdashery]],
werewolfgeneralstore,canifis_general_store,[[General Store (Canifis)]],
death_generalshop,burthorpe_supplies,[[Burthorpe Supplies]],
death_pub,toad_and_chicken,[[The Toad and Chicken]],
tbwt_tiadeche_final_inventory,tiadeches_karambwan_stall,[[Tiadeche's Karambwan Stall]],
karamja_fishrestaurant,the_shrimp_and_parrot,[[The Shrimp and Parrot]],
tbwt_tamayu_final_inventory,tamayus_spear_stall,[[Tamayu's Spear Stall]],
regicide_general_shop,quartermasters_stores,[[Quartermaster's Stores]],
regicide_general_shop_2,quartermasters_stores_regicide,,
skill_guide_crafting_leather,arnolds_eclectic_supplies,[[Arnold's Eclectic Supplies.]],
razmiregeneralstore,razmire_general_store,[[Razmire General Store.]],
razmirebuildingstore,razmire_builders_merchants,[[Razmire Builders Merchants.]],
viking_clothes_shop,yrsas_shoe_store,[[Yrsa's Shoe Store]],
viking_bar,rellekka_longhall_bar,[[Rellekka Longhall Bar]],
viking_weapons_shop,skulgrimens_battle_gear,[[Skulgrimen's Battle Gear]],
viking_general_store,sigmund_the_merchant,[[Sigmund the Merchant (shop)]],
viking_furshop,ardougne_fur_stall,[[Ardougne Fur Stall.]],
lighthouseshop,the_lighthouse_store,[[The Lighthouse Store]],
misc_fishmonger,island_fishmonger,[[Island Fishmonger]],
misc_greengrocer,greengrocer_of_miscellania,[[Greengrocer of Miscellania]],
etc_fishmonger,etceteria_fish,[[Etceteria Fish]],
etc_greengrocer,island_greengrocer,[[Island Greengrocer]],
mm_magic_shop,tutabs_magical_market,[[Tutab's Magical Market]],
mm_scimitar_shop,dagas_scimitar_smithy,[[Daga's Scimitar Smithy]],
mm_food_shop,solihibs_food_stall,[[Solihib's Food Stall]],
mm_crafting_shop,hamabs_crafting_emporium,[[Hamab's Crafting Emporium]],
mm_general_shop,ifabas_general_store,[[Ifaba's General Store]],
rangingguild_trade_tickets,ranging_guild_ticket_exchange,[[Ranging Guild Ticket Exchange]],
slayershop,slayer_equipment,[[Slayer Equipment (shop)]],
magicguildshop2,magic_guild_store_mystic_robes,[[Magic Guild Store (Mystic Robes)]],
ahoy_generalshop,port_phasmatys_general_store,[[Port Phasmatys General Store]],
wildernesscapeshop1,williams_wilderness_cape_shop,[[William's Wilderness Cape Shop.]],
wildernesscapeshop2,ians_wilderness_cape_shop,[[Ian's Wilderness Cape Shop.]],
wildernesscapeshop3,larrys_wilderness_cape_shop,[[Larry's Wilderness Cape Shop.]],
wildernesscapeshop4,darrens_wilderness_cape_shop,[[Darren's Wilderness Cape Shop.]],
wildernesscapeshop5,edwards_wilderness_cape_shop,[[Edward's Wilderness Cape Shop.]],
wildernesscapeshop6,richards_wilderness_cape_shop,[[Richard's Wilderness Cape Shop.]],
wildernesscapeshop7,neils_wilderness_cape_shop,[[Neil's Wilderness Cape Shop.]],
wildernesscapeshop8,edmonds_wilderness_cape_shop,[[Edmond's Wilderness Cape Shop.]],
wildernesscapeshop9,simons_wilderness_cape_shop,[[Simon's Wilderness Cape Shop.]],
wildernesscapeshop10,sams_wilderness_cape_shop,[[Sam's Wilderness Cape Shop.]],
salesman_ranging,brians_archery_supplies,[[Brian's Archery Supplies.]],
mm_scimitar_shop2,dagas_scimitar_smithy_monkey_madness,[[Daga's Scimitar Smithy]],Default
feud_morrisanes,alis_discount_wares,[[Ali's Discount Wares.]],
feud_alispub,the_asp_and_snake_bar,[[The Asp & Snake Bar.]],
pollnivneach_generalstore,pollnivneach_general_store,[[Pollnivneach general store.]],
dt_bandit_shop,bandit_bargains,[[Bandit Bargains]],
rasoolshop1,rasolo_the_wandering_merchant,[[Rasolo the Wandering Merchant]],
fd_bandit_bar,the_big_heist_lodge,[[The Big Heist Lodge]],
sophanem_cloth_store,raetul_and_cos_cloth_store,[[Raetul and Co's Cloth Store.]],
ahoy_akharanu_shop,ak_haranus_exotic_shop,[[Ak-Haranu's Exotic Shop.]],
uglug_nar_shop,uglugs_stuffsies,[[~ Uglug's stuffsies ~]],
keldagrim_warhammer_shop,vigrs_warhammers,[[Vigr's Warhammers]],
keldagrim_quality_weapons_shop,quality_weapons_shop,[[Quality Weapons Shop]],
keldagrim_quality_armour_shop,quality_armour_shop,[[Quality Armour Shop]],
keldagrim_general_shop,gunsliks_assorted_items,[[Gunslik's Assorted Items]],
keldagrim_pickaxe_shop,pickaxe_is_mine,[[Pickaxe-Is-Mine]],
keldagrim_clothes_shop,agmundi_quality_clothes,[[Agmundi Quality Clothes]],
keldagrim_bread_stall,keldagrims_best_bread,[[Keldagrim's Best Bread]],
keldagrim_crafting_stall,carefree_crafting_stall,[[Carefree Crafting Stall]],
keldagrim_gem_stall,green_gemstone_gems,[[Green Gemstone Gems]],
keldagrim_silver_stall,ardougne_silver_stall,[[Ardougne Silver Stall.]],
keldagrim_clothes_stall,vermundis_clothes_stall,[[Vermundi's Clothes Stall]],
seed_stall,draynor_seed_market,[[Draynor Seed Market]],
darkruneshop_crap,battle_runes,[[Mage of Zamorak]],Pre-miniquest
darkruneshop_uber,battle_runes_enter_the_abyss,[[Mage of Zamorak]],Post-miniquest
roguesden_shop,martin_thwaits_lost_and_found,[[Martin Thwait's Lost and Found.]],
farming_shop_1,alices_farming_shop,[[Alice's Farming shop.]],
farming_shop_2,richards_farming_shop,[[Richard's Farming shop.]],
farming_shop_3,sarahs_farming_shop,[[Sarah's Farming shop.]],
farming_shop_4,vanessas_farming_shop,[[Vanessa's Farming shop.]],
lletyageneralshop1,lletya_general_store,[[Lletya General Store]],
lletyaseamstressshop1,lletya_seamstress,[[Lletya Seamstress]],
lletyaarcheryshop1,lletya_archery_shop,[[Lletya Archery Shop]],
lletyafoodshop1,lletya_food_store,[[Lletya Food Store]],
tai_bwo_wannai_cooperative,gabootys_tai_bwo_wannai_cooperative,[[Gabooty's Tai Bwo Wannai Cooperative.]],
tai_bwo_wannai_drinksies,gabootys_tai_bwo_wannai_drinky_store,[[Gabooty's Tai Bwo Wannai Drinky Store.]],
roguetrader_alim_defendbj_inv,alis_discount_wares_blackjacks_o,[[Ali's Discount Wares.]],blackjacks|Defensive
roguetrader_alim_assaultbj_inv,alis_discount_wares_blackjacks_d,[[Ali's Discount Wares.]],blackjacks|Offensive
roguetrader_alim_meanpclothes_inv,alis_discount_wares_menaphite,[[Ali's Discount Wares.]],clothing|Menaphite gear
roguetrader_alim_carpetclothes_inv,alis_discount_wares_desert,[[Ali's Discount Wares.]],clothing|Desert gear
roguetrader_alim_runeretail_inv,alis_discount_wares_elemental,[[Ali's Discount Wares.]],runes|Elemental runes
roguetrader_alim_runewholesale_inv,alis_discount_wares_catalytic,[[Ali's Discount Wares.]],runes|Catalytic runes
smithing_guild_ore_seller,ore_seller,[[Ore seller.]],
smithing_guild_buyer,armour_store,[[Armour store.]],
tzhaar_shop_equipment,tzhaar_hur_tels_equipment_store,[[TzHaar-Hur-Tel's Equipment Store]],
tzhaar_shop_oreandgem,tzhaar_hur_leks_ore_and_gem_store,[[TzHaar-Hur-Lek's Ore and Gem Store]],
tzhaar_shop_rune,tzhaar_mej_rohs_rune_store,[[TzHaar-Mej-Roh's Rune Store]],
whiteknight_armoury1,white_knight_novice_armoury,[[White Knight Armoury]],Novice
whiteknight_armoury2,white_knight_peon_armoury,[[White Knight Armoury]],Peon
whiteknight_armoury3,white_knight_page_armoury,[[White Knight Armoury]],Page
whiteknight_armoury4,white_knight_noble_armoury,[[White Knight Armoury]],Noble
whiteknight_armoury5,white_knight_adept_armoury,[[White Knight Armoury]],Adept
whiteknight_armoury6,white_knight_master_armoury,[[White Knight Armoury]],Master
pillory_rottenfruitshop,shop_of_distaste,[[Shop of Distaste]],
generalshopnardah,miscellanian_general_store,[[Miscellanian General Store]],
armourshopnardah,seddus_adventurers_store,[[Seddu's Adventurer's Store.]],
chociceshopnardah,roks_chocs_box,[[Rok's Chocs Box.]],
bakery2,ardougne_bakers_stall_west,[[Ardougne Baker's Stall.]],west
magictraining_inventory,mage_training_arena,,
smithsshop,smithing_smiths_shop,[[Smithing Smith's Shop.]],
joeshop,harpoon_joes_house_of_rum,[[Harpoon Joe's House of 'Rum'.]],
charleyshop,two_feet_charleys_fish_shop,[[Two Feet Charley's Fish Shop.]],
mikeshop,dodgy_mikes_second_hand_clothing,[[Dodgy Mike's Second Hand Clothing.]],
shop_pies,pie_shop,[[Pie Shop]],
hundred_foodchest1,culinaromancers_chest_food_0,[[Culinaromancer's Chest]],food|0 Subquests
hundred_foodchest2,culinaromancers_chest_food_1,[[Culinaromancer's Chest]],food|1 Subquest
hundred_foodchest3,culinaromancers_chest_food_2,[[Culinaromancer's Chest]],food|2 Subquests
hundred_foodchest4,culinaromancers_chest_food_3,[[Culinaromancer's Chest]],food|3 Subquests
hundred_foodchest5,culinaromancers_chest_food_4,[[Culinaromancer's Chest]],food|4 Subquests
hundred_foodchest6,culinaromancers_chest_food_5,[[Culinaromancer's Chest]],food|5 Subquests
hundred_foodchest7,culinaromancers_chest_food_6,[[Culinaromancer's Chest]],food|6 Subquests
hundred_foodchest8,culinaromancers_chest_food_7,[[Culinaromancer's Chest]],food|7 Subquests
hundred_foodchest9,culinaromancers_chest_food_8,[[Culinaromancer's Chest]],food|8 Subquests
hundred_foodchest10,culinaromancers_chest_food_9,[[Culinaromancer's Chest]],food|full
hundred_rewardchest1,culinaromancers_chest_0,[[Culinaromancer's Chest]],items|0 subquests
hundred_rewardchest2,culinaromancers_chest_1,[[Culinaromancer's Chest]],items|1 subquest
hundred_rewardchest3,culinaromancers_chest_2,[[Culinaromancer's Chest]],items|2 subquest
hundred_rewardchest4,culinaromancers_chest_3,[[Culinaromancer's Chest]],items|3 subquests
hundred_rewardchest5,culinaromancers_chest_4,[[Culinaromancer's Chest]],items|4 subquests
hundred_rewardchest6,culinaromancers_chest_5,[[Culinaromancer's Chest]],items|5 subquests
hundred_rewardchest7,culinaromancers_chest_6,[[Culinaromancer's Chest]],items|6 Subquests
hundred_rewardchest8,culinaromancers_chest_7,[[Culinaromancer's Chest]],items|7 Subquests
hundred_rewardchest9,culinaromancers_chest_8,[[Culinaromancer's Chest]],items|8 Subquests
hundred_rewardchest10,culinaromancers_chest_9,[[Culinaromancer's Chest]],items|full
burgh_general_store,aurels_supplies,[[Aurel's Supplies]],
wine_merchant,wine_stall,[[Wine Shop.]],
wine_vinegar_merchant,fortunatos_fine_wine,[[Wine Shop.]],
pest_archery_store,void_knight_archery_store,[[Void Knight Archery Store]],
pest_rune_store,void_knight_magic_store,[[Void Knight Magic Store]],
pest_general_store,void_knight_general_store,[[Void Knight General Store]],
royal_generalstore,karamja_general_store,[[Karamja General Store]],
royal_clotheshop,miscellanian_clothes_shop,[[Miscellanian Clothes Shop]],
royal_bar,the_esoterican_arms,[[The Esoterican Arms]],
royal_foodshop,miscellanian_food_shop,[[Miscellanian Food Shop]],
poh_sawmill_shop,construction_supplies,[[Construction supplies]],
poh_stonemason_shop,keldagrim_stonemason,[[Keldagrim Stonemason]],
poh_garden_centre,garden_centre,[[Garden Centre]],
warguild_food_shop,warriors_guild_food_shop,[[Warrior Guild Food Shop]],
warguild_armour_shop,warriors_guild_armoury,[[Warrior Guild Armoury]],
warguild_potion_shop,warrior_guild_potion_shop,[[Warrior Guild Potion Shop]],
dorgeshuun_weapon_shop,nardoks_bone_weapons,[[Nardok's Bone Weapons]],
dusuris_star_shop,dusuris_star_shop,[[Dusuri's Star Shop]],
brew_reward_shop,honest_jimmys_house_of_stuff,[[Honest Jimmy's House of Stuff]],
lunar_general,moon_clan_general_store,[[Moon Clan General Store.]],
lunar_clotheshop,moon_clan_fine_clothes,[[Moon Clan Fine Clothes.]],
lunar_runeshop,crossbow_shop_dwarven_mine,[[Crossbow Shop (Dwarven Mine)]],
lunar_runeshop_compl,baba_yagas_magic_shop,[[Baba Yaga's Magic Shop.]],
xbows_shop,crossbow_shop_white_wolf_mountain,[[Crossbow Shop (White Wolf Mountain)]],
xbows_shop_addy,crossbow_shop_keldagrim,[[Crossbow Shop (Keldagrim)]],
trader_stan_shop,trader_stans_trading_post,[[Trader Stan's Trading Post]],
meiyerditch_black_market,trader_svens_black_market_goods,[[Trader Sven's Black-market Goods.]],
templeknight_armoury1,initiate_temple_knight_armoury,[[Initiate Temple Knight Armoury]],
templeknight_armoury2,proselyte_temple_knight_armoury,[[Proselyte Temple Knight Armoury]],
poh_costume_room_armour_inv,castle_wars_ticket_exchange,[[Castle Wars Ticket Exchange]],
roguesden_shop_skillcape,martin_thwaits_lost_and_found_skillcape,[[Martin Thwait's Lost and Found.]],
roguesden_shop_skillcape_trimmed,martin_thwaits_lost_and_found_trimmed,[[Martin Thwait's Lost and Found.]],
ranging_guild_armourshop_skillcape,aarons_archery_appendages_skillcape,[[Aaron's Archery Appendages.]],
ranging_guild_armourshop_skillcape_trimmed,aarons_archery_appendages_trimmed,[[Aaron's Archery Appendages.]],
runeshop_skillcape,runecrafting_skillcape,[[Aubury's Rune Shop.]],
runeshop_skillcape_trimmed,runecrafting_skillcape_trimmed,[[Aubury's Rune Shop.]],
magicguildshop2_skillcape,magic_guild_store_mystic_robes_skillcape,[[Magic Guild Store (Mystic Robes)]],
magicguildshop2_skillcape_trimmed,magic_guild_store_mystic_robes_trimmed,[[Magic Guild Store (Mystic Robes)]],
ranging_guild_bowshop_skillcape_trimmed,ruined_boat,[[Hickton's Archery Emporium.]],
myarm_shop,leprechaun_larrys_farming_supplies,[[Leprechaun Larry's Farming Supplies.]],
archeryshop2_skillcape,hicktons_archery_emporium_skillcape,[[Hickton's Archery Emporium.]],
archeryshop2_skillcape_trimmed,hicktons_archery_emporium_trimmed,[[Hickton's Archery Emporium.]],
hunting_customfurshop,custom_fur_clothing,[[Fancy Clothes Store]],Custom Fur Clothing
hunting_shop_yanille,alecks_hunter_emporium,[[Aleck's Hunter Emporium.]],
hunting_shop_nardah,nardah_hunter_shop,[[Nardah Hunter Shop.]],
anma_shop,avas_odds_and_ends,[[Ava's Odds and Ends]],
contact_craftingshop,jamilas_craft_stall,[[Jamila's Craft Stall.]],
contact_bakery,nathifas_bake_stall,[[Nathifa's Bake Stall.]],
contact_daggershop,blades_by_urbi,[[Blades by Urbi.]],
contact_embalmer,the_spice_is_right,[[The Spice Is Right.]],
sophanem_cloth_store_updated,raetul_and_cos_cloth_store_contact,[[Raetul and Co's Cloth Store.]],Before Contact!
frisb_n_shop,neitiznot_supplies,[[Neitiznot supplies.]],
frisd_fishmonger,flosis_fishmongers,[[Flosi's Fishmongers]],
frisd_cook,keepa_kettilons_store,[[Keepa Kettilon's store]],
frisd_armourshop,armour_shop,[[Armour Shop (Jatizso)]],
frisd_weaponshop,weapons_galore,[[Weapons galore]],
frisd_oreshop,ore_store,[[Ore store]],
frisd_yak_contraband,contraband_yak_produce,[[Contraband yak produce.]],
dorgesh_lamp_shop,miltogs_lamps,[[Miltog's Lamps]],
dorgesh_leather_shop,reldaks_leather_armour,[[Reldak's Leather Armour]],
dorgesh_general_store,dorgesh_kaan_general_supplies,[[Dorgesh-Kaan General Supplies]],
myths_guild_weaponry,myths_guild_weaponry,[[Myths' Guild Weaponry]],
myths_guild_armoury,myths_guild_armoury,[[Myths' Guild Armoury]],
myths_guild_herbalist,myths_guild_herbalist,[[Myths' Guild Herbalist]],
sunset_coast_general_store,sunset_coast_general_store,[[Sunset Coast General Store]],
aldarin_general_store,aldarin_general_store,[[Aldarin General Store]],
salvager_overlook_general_store,salvager_overlook_general_store,[[Salvager Overlook General Store]],
kastori_general_store,kastori_general_store,[[Kastori General Store]],
port_roberts_general_store,port_roberts_general_store,[[Port Roberts General Store]],
-,agelus_farm_shop,[[Agelus' Farm Shop]],
-,agility_arena_store,[[Agility Arena Store]],
-,allannas_farming_shop,[[Allanna's Farming Shop]],
-,alry_the_anglers_angling_accessories,[[Alry the Angler's Angling Accessories]],
-,amelias_seed_shop,[[Amelia's Seed Shop]],
-,amlodds_magical_supplies,[[Amlodd's Magical Supplies]],
-,aneirins_armour,[[Aneirin's Armour]],
-,arcuanis_archery_supplies,[[Arcuani's Archery Supplies]],
-,artimas_crafting_supplies,[[Artima's Crafting Supplies]],
-,atlazoras_rest,[[Atlazora's Rest]],
-,auburn_pub,[[Auburn Pub]],
-,auburnvale_general_store,[[Auburnvale General Store]],
-,barbarian_assault_reward_shop,[[Barbarian Assault Reward Shop]],
-,beach_cocktails,[[Beach Cocktails]],
-,beach_kit,[[Beach Kit]],
-,blairs_armour,[[Blair's Armour]],
-,blue_moon_inn,[[Blue Moon Inn]],
-,bolkoys_village_shop,[[Bolkoy's Village Shop]],
-,bounty_hunter_shop_deadman_mode,[[Bounty Hunter Shop (Deadman Mode)]],
-,bounty_hunter_shop_historical,[[Bounty Hunter Shop (historical)]],
-,bounty_hunter_store,[[Bounty Hunter Store]],
-,branwens_farming_shop,[[Branwen's Farming Shop]],
-,brigets_weapons,[[Briget's Weapons]],
-,brimhaven_agility_arena_ticket_exchange,[[Brimhaven Agility Arena Ticket Exchange]],
-,bunbridge_general_store,[[Bunbridge General Store]],
-,cam_torum_blacksmith,[[Cam Torum Blacksmith]],
-,cam_torum_general_store,[[Cam Torum General Store]],
-,cobados_groceries,[[Cobado's Groceries]],
-,conaras_jewels,[[Conara's Jewels]],
-,dancing_donkey_inn,[[Dancing Donkey Inn]],
-,darkmeyer_general_store,[[Darkmeyer General Store]],
-,darkmeyer_lantern_shop,[[Darkmeyer Lantern Shop]],
-,darkmeyer_meat_shop,[[Darkmeyer Meat Shop]],
-,darkmeyer_seamstress,[[Darkmeyer Seamstress]],
-,daryls_ranging_surplus,[[Daryl's Ranging Surplus]],
-,dead_mans_chest,[[Dead Man's Chest]],
-,deadman_reward_store,[[Deadman Reward Store]],
-,deepfin_inn,[[Deepfin Inn]],
-,deepfin_point_ore_exchange,[[Deepfin Point Ore Exchange]],
-,dom_onions_reward_shop,[[Dom Onion's Reward Shop]],
-,dragon_inn,[[Dragon Inn]],
-,durriks_goods,[[Durrik's Goods]],
-,dyes_to_die_for,[[Dyes to Die For]],
-,elder_blunns_spear_and_shield_stall,[[Elder Blunn's Spear and Shield Stall]],
-,elder_cocos_crafting_stall,[[Elder Coco's Crafting Stall]],
-,elder_krills_fishing_stall,[[Elder Krill's Fishing Stall]],
-,elder_raleys_herblore_stall,[[Elder Raley's Herblore Stall]],
-,elder_reggles_farming_shop,[[Elder Reggle's Farming Shop]],
-,elder_stroms_hunting_stall,[[Elder Strom's Hunting Stall]],
-,elgans_exceptional_staffs,[[Elgan's Exceptional Staffs!]],
-,emelios_kebab_shop,[[Emelio's Kebab Shop]],
-,events_reward_shop,[[Events Reward Shop]],
-,fairy_fixits_fairy_enchantment,[[Fairy Fixit's Fairy Enchantment]],
-,falador_party_room,[[Falador Party Room]],
-,farmer_gricollers_rewards,[[Farmer Gricoller's Rewards]],
-,farming_supplies,[[Farming Supplies]],
-,faustus_fruit_and_veg,[[Faustus' Fruit and Veg]],
-,fight_arena_bar,[[Fight Arena Bar]],
-,filaminas_wares,[[Filamina's Wares]],
-,florias_fashion,[[Floria's Fashion]],
-,flying_horse_inn,[[Flying Horse Inn]],
-,foresters_arms,[[Forester's Arms]],
-,forestry_shop,[[Forestry Shop]],
-,fortis_bakers_stall,[[Fortis Baker's Stall]],
-,fortis_blacksmith,[[Fortis Blacksmith]],
-,fortis_fur_stall,[[Fortis Fur Stall]],
-,fortis_gem_stall,[[Fortis Gem Stall]],
-,fortis_general_store,[[Fortis General Store]],
-,fortis_silk_stall,[[Fortis Silk Stall]],
-,fortis_spice_stall,[[Fortis Spice Stall]],
-,fossil_island_general_store,[[Fossil Island General Store]],
-,frankies_fishing_emporium,[[Frankie's Fishing Emporium]],
-,fremennik_fish_monger,[[Fremennik Fish Monger]],
-,general_store_canifis,[[General Store (Canifis)]],
-,giants_foundry_reward_shop,[[Giants' Foundry Reward Shop]],
-,graces_graceful_clothing,[[Grace's Graceful Clothing]],
-,guineveres_dyes,[[Guinevere's Dyes]],
-,gwyns_mining_emporium,[[Gwyn's Mining Emporium]],
-,hair_of_the_dog,[[Hair of the Dog]],
-,hefin_inn,[[Hefin Inn]],
-,hendersons_catch_of_the_day,[[Henderson's Catch of the Day]],
-,hendors_awesome_ores,[[Hendor's Awesome Ores]],
-,huitos_herbal_supplies,[[Huito's Herbal Supplies]],
-,imias_supplies,[[Imia's Supplies]],
-,iorwerths_arms,[[Iorwerth's Arms]],
-,ishmaels_fish_he_sells,[[Ishmael's Fish He Sells]],
-,ivans_supplies,[[Ivan's Supplies]],
-,iwans_maces,[[Iwan's Maces]],
-,jennifers_general_supplies,[[Jennifer's General Supplies]],
-,jolly_boar_inn,[[Jolly Boar Inn]],
-,justines_stuff_for_the_last_shopper_standing,[[Justine's stuff for the Last Shopper Standing]],
-,kastori_farming_supplies,[[Kastori Farming Supplies]],
-,kenelmes_wares,[[Kenelme's Wares]],
-,khazard_general_store,[[Khazard General Store]],
-,king_narnodes_royal_seed_pods,[[King Narnode's Royal Seed Pods]],
-,kings_axe_inn,[[King's Axe Inn]],
-,kjuts_kebabs,[[Kjut's Kebabs]],
-,kourend_castle_bakers_stall,[[Kourend Castle Baker's Stall.]],
-,kourend_castle_gem_stall,[[Kourend Castle Gem Stall.]],
-,laughing_miner_pub,[[Laughing Miner Pub]],
-,leagues_reward_shop,[[Leagues Reward Shop]],
-,leenzs_general_supplies,[[Leenz's General Supplies]],
-,leons_prototype_crossbow,[[Leon's Prototype Crossbow.]],
-,little_muntys_little_shop,[[Little Munty's Little Shop]],
